,BSL,CLASS1-BSL
0,J0007.4+7303,PSR
1,J0017.4-0503,bzq
2,J0025.1-7202,glb
3,J0030.3+0450,PSR
4,J0033.6-1921,bzb
5,J0036.7+5951,bzb
6,J0050.5-0928,bzb
7,J0051.1-0647,bzq
8,J0100.2+0750,bzu
9,J0112.1+2247,bzb
10,J0118.7-2139,bzq
11,J0120.5-2703,bzb
12,J0136.6+3903,bzb
13,J0137.1+4751,bzq
14,J0144.5+2709,bzb
15,J0145.1-2728,bzq
16,J0204.8-1704,bzq
17,J0210.8-5100,bzq
18,J0217.8+0146,bzq
19,J0220.9+3607,bzu
20,J0222.6+4302,bzb
21,J0229.5-3640,bzq
22,J0238.4+2855,bzq
23,J0238.6+1636,bzb
24,J0240.3+6113,HXB
25,J0245.6-4656,bzu
26,J0303.7-2410,bzb
27,J0320.0+4131,rdg
28,J0334.1-4006,bzb
29,J0349.8-2102,bzq
30,J0357.5+3205,PSR
31,J0407.6-3829,bzu
32,J0412.9-5341,bzu
33,J0423.1-0112,bzq
34,J0428.7-3755,bzb
35,J0449.7-4348,bzb
36,J0457.1-2325,bzq
37,J0507.9+6739,bzb
38,J0516.2-6200,bzu
39,J0531.0+1331,bzq
40,J0534.6+2201,PSR
41,J0538.4-6856,
42,J0538.8-4403,bzb
43,J0613.9-0202,PSR
44,J0614.3-3330,
45,J0617.4+2234, x
46,J0631.8+1034,PSR
47,J0633.5+0634,PSR
48,J0634.0+1745,PSR
49,J0643.2+0858,
50,J0654.3+4513,bzq
51,J0654.3+5042,bzu
52,J0700.0-6611,bzu
53,J0712.9+5034,bzb
54,J0714.2+1934,bzq
55,J0719.4+3302,bzq
56,J0722.0+7120,bzb
57,J0730.4-1142,bzq
58,J0738.2+1738,bzb
59,J0818.3+4222,bzb
60,J0824.9+5551,bzq
61,J0826.0-2228,bzb
62,J0835.4-4510,PSR
63,J0855.4+2009,bzb
64,J0909.7+0145,bzb
65,J0910.2-5044,
66,J0921.2+4437,bzq
67,J0948.3+0019,bzq
68,J0957.6+5522,bzq
69,J1012.9+2435,bzq
