,4fgldr1,4fgldr1-cls1_x,4fgldr1-3fgl,4fgldr1_features,4fgldr1_labels,3fgl,3fgl-cls1,4fgldr1-cls1_y,4fgldr2,4fgldr2-cls1,4fgldr3,4fgldr3-cls1,4fgldr4,4fgldr4-cls1,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1
0,J0001.2-0747,bll,J0001.2-0748,"[2.1483261585235596, 2.1125879287719727, 2.024554967880249, 16.86919403076172, -30.887991467461568, -30.644358725904503, -28.06079986858458, -30.71729261759721, -23.502144869697013, 0.047278109937906265, 0.21193315088748932, 1.4176180362701416, 22.748435974121094, -0.10349427449326612, -0.44158761117213485, -0.6502833496902576, -0.43597098018235214, -0.781991583636568, -0.5599956038839945]",[1],J0001.2-0748,bll,bll,J0001.2-0747,bll,J0001.2-0747,bll,J0001.2-0747,bll,AGN,AGN,AGN,AGN
1,J0001.5+2113,fsrq,J0001.4+2120,"[2.6801705360412598, 2.5975513458251953, 2.255934715270996, 920.6774291992188, -27.6661492374601, -27.344056287527263, -27.82830431983423, -27.404256392505896, -23.431686664999813, 0.1480017751455307, 1.2660484313964844, 5.091225624084473, 30.666046142578125, -0.24777053655154188, -0.6425760847164207, -0.7864170271942148, -0.8775302004878974, -0.9997510248606083, -0.893159989234655]",[1],J0001.4+2120,fsrq,fsrq,J0001.5+2113,fsrq,J0001.5+2113,fsrq,J0001.5+2113,fsrq,AGN,AGN,AGN,AGN
2,J0001.6-4156,bcu,J0002.2-4152,"[1.8335938453674316, 1.7955886125564575, 1.7589176893234253, 13.750535011291504, -33.349621774847336, -33.079637623273136, -28.341509113620315, -33.24853005722194, -23.991594219285492, 0.02506304532289505, 0.4014294743537903, 0.40303584933280945, 11.464016914367676, -0.5563564395531876, -0.815654743065627, -0.3160638388937883, -0.2726878556631666, -0.5583562065032565, -0.14999126002880891]",[1],J0002.2-4152,bcu,bcu,J0001.6-4156,bcu,J0001.6-4156,bcu,J0001.6-4156,bcu,AGN,AGN,AGN,AGN
3,J0003.1-5248,bcu,J0003.2-5246,"[1.8454309701919556, 1.7601653337478638, 1.600625991821289, 5.56784200668335, -33.53153640424708, -33.24043971142041, -28.34562765277011, -33.34158577226078, -23.936244720775292, 0.07142607867717743, 0.0, 1.2588248252868652, 13.530243873596191, 0.9846709613020246, -0.7529764953182579, -0.4110734077331726, -0.3762006457360235, -0.4396728965612332, -0.46085278587609957]",[1],J0003.2-5246,bcu,bcu,J0003.1-5248,bcu,J0003.1-5248,bcu,J0003.1-5248,bcu,AGN,AGN,AGN,AGN
4,J0003.9-1149,bll,J0003.8-1151,"[2.1277146339416504, 2.000701665878296, 1.345658540725708, 4.72314453125, -31.844924205357852, -31.382747508875866, -28.447564927490887, -31.394621399918584, -23.929749573538828, 0.26229074597358704, 0.0, 2.7669737339019775, 10.2339448928833, 0.9995007950827747, -0.29548062535768244, -0.45793995479870986, -0.6076022998702563, -0.6580358887107409, -0.999999996145939]",[1],J0003.8-1151,bcu,bll,J0003.9-1149,bll,J0003.9-1149,bll,J0003.9-1149,bll,AGN,AGN,AGN,AGN
5,J0004.4-4737,fsrq,J0004.7-4740,"[2.414989471435547, 2.3563406467437744, 2.161555051803589, 123.41303253173828, -30.231696520897344, -29.971670642682167, -28.381953528568175, -30.04520325783268, -23.850996901611587, 0.0776294395327568, 0.8326564431190491, 1.6479105949401855, 19.20541763305664, -0.5088327115310213, -0.624675871175332, -0.6864400639097634, -0.6296223501911199, -0.8792684692682596, -0.9996954905713064]",[1],J0004.7-4740,fsrq,fsrq,J0004.4-4737,fsrq,J0004.4-4737,fsrq,J0004.4-4737,fsrq,AGN,AGN,AGN,AGN
6,J0005.9+3824,fsrq,J0006.4+3825,"[2.6667964458465576, 2.6316637992858887, 2.1998510360717773, 23.272005081176758, -28.853975296721988, -28.53243826923714, -28.04959375757635, -28.540477423533357, -23.743948888996474, 0.15494637191295624, 0.32257279753685, 2.530862808227539, 14.659770011901855, -0.3396690279249066, -0.6492034040517807, -0.7973691953288934, -0.8310779310083919, -0.9756107184201163, -0.997996218666879]",[1],J0006.4+3825,fsrq,fsrq,J0005.9+3824,fsrq,J0005.9+3824,fsrq,J0005.9+3824,fsrq,AGN,AGN,AGN,AGN
7,J0007.0+7303,PSR,J0007.0+7302,"[2.0279810428619385, 1.8605095148086548, 1.044554591178894, 4.1237053871154785, -29.394672080602046, -28.87280328701958, -26.391586925125832, -28.88025399784007, -21.457509400181127, 0.2732124626636505, 0.0, 62.408077239990234, 329.0935363769531, -0.03678414747786596, -0.18357183489908196, -0.3906637005774292, -0.5268493827041925, -0.8277249893550812, -0.9291841121047751]",[0],J0007.0+7302,PSR,PSR,J0007.0+7303,PSR,J0007.0+7303,PSR,J0007.0+7303,PSR,PSR,PSR,PSR,PSR
8,J0008.0+4711,bll,J0008.0+4713,"[2.052576780319214, 1.9346354007720947, 1.8158093690872192, 7.431258678436279, -30.806288289951556, -30.610055595821724, -27.520215964037696, -30.676750084047193, -23.131689644065375, 0.07939882576465607, 0.01702754572033882, 3.5582082271575928, 42.16299057006836, -0.6842743544285151, -0.2242280421226121, -0.5103292613956755, -0.44690555524488124, -0.617197336655815, -0.7025465356420763]",[1],J0008.0+4713,bll,bll,J0008.0+4711,bll,J0008.0+4711,bll,J0008.0+4711,bll,AGN,AGN,AGN,AGN
9,J0008.4-2339,bll,J0008.6-2340,"[1.6839512586593628, 1.480987548828125, 1.0323151350021362, 10.5847806930542, -34.385656400875426, -33.95195341997866, -28.333946558320765, -34.02872671773153, -24.041779878900254, 0.16281697154045105, 0.2256074994802475, 1.840216875076294, 10.519943237304688, 0.9758251836315807, -0.7381554610450558, -0.2765940248648487, -0.38996439560055374, 0.14149071610898864, -0.7594921551103461]",[1],J0008.6-2340,bll,bll,J0008.4-2339,bll,J0008.4-2339,bll,J0008.4-2339,bll,AGN,AGN,AGN,AGN
