,4fgldr2,4fgldr2_features,4fgldr2_labels,3fgl,3fgl-cls1,4fgldr1,4fgldr1-cls1,4fgldr2-cls1,4fgldr3,4fgldr3-cls1,4fgldr4,4fgldr4-cls1
0,J0001.2-0747,"[2.104942798614502, 2.0718932151794434, 1.944939136505127, 33.22867965698242, -31.443143627967324, -31.22157929279334, -28.113411352363947, -31.26419387443247, -23.591882350892732, 0.048769861459732056, 0.3327931761741638, 1.6251894235610962, 23.369342803955078, 0.9979667407449494, -0.5525027566560387, -0.6138659801060186, -0.42176375510240616, -0.7506568423081122, -0.4770866163713669]",[1],J0001.2-0748,bll,J0001.2-0747,bll,bll,J0001.2-0747,bll,J0001.2-0747,bll
1,J0001.5+2113,"[2.6593079566955566, 2.5481505393981934, 2.200929641723633, 1564.4176025390625, -27.536335260878957, -27.226061811606606, -27.867320975679746, -27.29095346456838, -23.40274526118288, 0.15877607464790344, 1.054583191871643, 7.32485294342041, 44.13469696044922, -0.2475014154045196, -0.6374355682119596, -0.7734710011471335, -0.8885870573221855, -0.9999980172515082, 0.0035166957032942117]",[1],J0001.4+2120,fsrq,J0001.5+2113,fsrq,fsrq,J0001.5+2113,fsrq,J0001.5+2113,fsrq
2,J0001.6-4156,"[1.7558894157409668, 1.667587161064148, 1.5633279085159302, 16.148963928222656, -33.70055146290592, -33.39951080469897, -28.36514075292734, -33.5258994977317, -24.095979334866108, 0.06975477933883667, 0.3279660642147064, 1.4801549911499023, 15.610699653625488, 0.9294002632180417, -0.6459100170324881, -0.27013829950276824, -0.2801479953302196, -0.4451379432839197, -0.24518512041941823]",[1],J0002.2-4152,bcu,J0001.6-4156,bcu,bcu,J0001.6-4156,bcu,J0001.6-4156,bcu
3,J0003.1-5248,"[1.875063180923462, 1.8100780248641968, 1.641323208808899, 5.088118076324463, -33.56347573024476, -33.29795284384096, -28.47065552642827, -33.37239070656205, -24.03254377442631, 0.05651086941361427, 0.0, 1.1941826343536377, 15.321318626403809, -0.8084971275968477, -0.032542383995171245, -0.5601663008062036, -0.4222626067702106, -0.2699447747163581, -0.6357847545281096]",[1],J0003.2-5246,bcu,J0003.1-5248,bcu,bcu,J0003.1-5248,bcu,J0003.1-5248,bcu
4,J0003.9-1149,"[2.087108612060547, 1.9320688247680664, 1.263930082321167, 4.358573913574219, -31.95194258954791, -31.48716928107137, -28.649837036971682, -31.524299310850978, -23.835915490266256, 0.2711872160434723, 0.0, 3.343202590942383, 12.366488456726074, 0.8332870473216184, 0.9942064594305055, -0.38094770411297135, -0.6031820643516811, -0.6146128808816766, -0.9999935077784878]",[1],J0003.8-1151,bcu,J0003.9-1149,bll,bll,J0003.9-1149,bll,J0003.9-1149,bll
5,J0004.4-4737,"[2.3655600547790527, 2.304285764694214, 2.0942935943603516, 139.123046875, -30.580316970860984, -30.314725057294517, -28.55087153060594, -30.381091624321865, -24.007548671644216, 0.09203691780567169, 0.8883282542228699, 2.1470119953155518, 19.552749633789062, -0.35318812347262574, -0.642563106826132, -0.6879232922098208, -0.5983481559892149, -0.7979518204711085, -0.9999849845451741]",[1],J0004.7-4740,fsrq,J0004.4-4737,fsrq,fsrq,J0004.4-4737,fsrq,J0004.4-4737,fsrq
6,J0005.9+3824,"[2.6721155643463135, 2.5520496368408203, 2.0834903717041016, 26.769515991210938, -28.44433439695355, -28.11321369533232, -28.060848693223072, -28.133660410327053, -23.7417091447033, 0.1899041086435318, 0.31499016284942627, 3.1194798946380615, 16.455745697021484, -0.21210184909079494, -0.5759855402580819, -0.8141680828792643, -0.8521305694632563, -0.8250856540761197, -0.9999981795667131]",[1],J0006.4+3825,fsrq,J0005.9+3824,fsrq,fsrq,J0005.9+3824,fsrq,J0005.9+3824,fsrq
7,J0007.0+7303,"[2.027639389038086, 1.855302333831787, 1.0683751106262207, 5.124154090881348, -29.528380507235312, -28.95746471769923, -26.469927339845164, -29.031568997772784, -21.566513472335757, 0.2808079123497009, 0.0, 69.31866455078125, 351.6734313964844, -0.03180966365747363, -0.19659352786523418, -0.3900419733836665, -0.5252982882261593, -0.8291276642026472, -0.9390503663362088]",[0],J0007.0+7302,PSR,J0007.0+7303,PSR,PSR,J0007.0+7303,PSR,J0007.0+7303,PSR
8,J0008.0+4711,"[2.047048807144165, 1.9286298751831055, 1.80353581905365, 6.434004306793213, -30.865114933700802, -30.66695169984801, -27.653287993650398, -30.73361836790026, -23.24119513152405, 0.0791311115026474, 0.0, 3.9601640701293945, 47.19151306152344, -0.49768175761800204, -0.3687856439916565, -0.5170912766635751, -0.42894266520375174, -0.622245735777334, -0.6937646968797925]",[1],J0008.0+4713,bll,J0008.0+4711,bll,bll,J0008.0+4711,bll,J0008.0+4711,bll
9,J0008.4-2339,"[1.6560616493225098, 1.34911048412323, 0.7352696657180786, 13.834541320800781, -34.67305936937323, -34.11363326121903, -28.483349852765837, -34.181674316336675, -24.21598846878188, 0.2781689763069153, 0.334467351436615, 2.683634042739868, 10.347475051879883, -0.9979010329077863, 0.9992453963286717, -0.1741407739169584, -0.1850494262772901, -0.03552054540416835, -0.7842778147154547]",[1],J0008.6-2340,bll,J0008.4-2339,bll,bll,J0008.4-2339,bll,J0008.4-2339,bll
10,J0009.1+0628,"[2.0990545749664307, 2.0630695819854736, 1.9771441221237183, 13.046000480651855, -31.925211049764474, -31.700004332534252, -28.284653007122493, -31.804118239173498, -23.774829707721644, 0.04600047320127487, 0.21036946773529053, 1.1111429929733276, 15.143667221069336, 0.9887713028145936, -0.2209261127450742, -0.6222576568193242, -0.4853669072568076, -0.5518293134595257, -0.4985130142741443]",[1],J0009.1+0630,bll,J0009.1+0628,bll,bll,J0009.1+0628,bll,J0009.1+0628,bll
11,J0009.3+5030,"[1.9939121007919312, 1.897671103477478, 1.8078027963638306, 148.4995880126953, -30.745839842091815, -30.557923445674817, -27.58319869741935, -30.64128617992115, -23.16373664324264, 0.062285661697387695, 0.38765761256217957, 4.1640167236328125, 57.92721939086914, 0.08271766048155123, -0.4609836877203737, -0.514816486988407, -0.4436468946487972, -0.6030335745083182, -0.551015100866125]",[1],J0009.3+5030,bll,J0009.3+5030,bll,bll,J0009.3+5030,bll,J0009.3+5030,bll
