,1FGL,CLASS1-1FGL,1FGL-BSL
0,J0000.8+6600c,,
1,J0000.9-0745,bzb,
2,J0001.9-4158,,
3,J0003.1+6227,,
4,J0004.3+2207,,
5,J0004.7-4737,bzq,
6,J0005.1+6829,,
7,J0005.7+3815,bzq,
8,J0006.9+4652,,
9,J0007.0+7303,PSR,J0007.4+7303
10,J0008.3+1452,,
11,J0008.9+0635,bzb,
12,J0009.1+5031,,
13,J0011.1+0050,bzq,
14,J0013.1-3952,bzb,
15,J0013.7-5022,bzb,
16,J0016.6+1706,,
17,J0017.4-0510,bzq,J0017.4-0503
18,J0017.7-0019,,
19,J0018.6+2945,bzb,
20,J0019.3+2017,bzb,
21,J0021.7-2556,bzb,
22,J0022.2-1850,,
23,J0022.5+0607,bzb,
24,J0023.0+4453,bzq,
25,J0023.5+0930,,
26,J0023.9-7204,glc,J0025.1-7202
27,J0024.6+0346,,
28,J0028.9-7028,,
29,J0029.9-4221,bzq,
30,J0030.4+0451,PSR,J0030.3+0450
31,J0030.7+0724,,
32,J0032.7-5519,,
33,J0033.5-1921,bzb,J0033.6-1921
34,J0034.3-0534,PSR,
35,J0035.1+1516,bzb,
36,J0035.9+5951,bzb,J0036.7+5951
37,J0038.0+1236,,
38,J0038.4-2504,bzq,
39,J0038.6+2048,,
40,J0038.6+6306,,
41,J0039.2+4331,,
42,J0041.9+2318,bzq,
43,J0043.6+3424,,
44,J0045.3+2127,bzb,
45,J0046.8+5658,agu,
46,J0047.3-2512,sbg,
47,J0048.0+2232,,
48,J0048.0-8412,bzq,
49,J0049.8-5738,bzq,
50,J0050.0-0446,bzq,
51,J0050.2+0235,bzb,
52,J0050.6-0928,bzb,J0050.5-0928
53,J0051.1-0649,bzq,J0051.1-0647
54,J0051.4-6242,,
55,J0054.9-2455,,
56,J0058.0+3314,bzb,
57,J0058.4-3235,bzb,
58,J0059.6+1904,,
59,J0100.2+0747,agu,J0100.2+0750
60,J0101.0-6423,,
61,J0101.3-7257,gal,
62,J0102.2+4223,bzq,
63,J0102.3+0942,,
64,J0102.8+5827,bzq,
65,J0103.1+4840,,
66,J0104.4-2406,bzq,
67,J0105.7+3930,,
68,J0106.7+4853,,
69,J0108.6+0135,bzq,
70,J0109.0+1816,bzb,
71,J0110.0+6806,agu,
72,J0110.0-4023,,
73,J0112.0+2247,bzb,J0112.1+2247
74,J0112.9+3207,bzq,
75,J0113.8+4945,bzq,
76,J0114.4+1327,bzb,
77,J0115.5-1132,bzq,
78,J0115.5+2519,bzb,
79,J0115.7+0357,,
80,J0118.7-2137,bzq,J0118.7-2139
81,J0120.5-2700,bzb,J0120.5-2703
82,J0122.2+5200,,
83,J0124.6-0616,,
84,J0127.0+0322,,
85,J0128.6+4439,bzq,
86,J0131.2+6121,,
87,J0132.6-1655,bzq,
88,J0134.4+2632,,
89,J0136.3-2220,,
90,J0136.5+3905,bzb,J0136.6+3903
91,J0137.0+4751,bzq,J0137.1+4751
92,J0137.5-2428,bzq,
93,J0137.8+5814,,
94,J0141.7-0929,bzb,
95,J0143.9-5845,,
96,J0144.6+2703,bzb,J0144.5+2709
97,J0144.9-2732,bzq,J0145.1-2728
98,J0147.4+1547,,
99,J0154.1+0823,bzb,
100,J0155.0+4433,bzb,
101,J0157.0-5259,,
102,J0157.5-4613,bzq,
103,J0158.0-3931,bzb,
104,J0159.5+1047,bzb,
105,J0159.7-2741,bzb,
106,J0202.1+0849,bzb,
107,J0203.5+3044,agu,
108,J0203.5+7234,bzb,
109,J0204.5+1516,agn,
110,J0205.0-1702,bzq,J0204.8-1704
111,J0205.3+3217,bzq,
112,J0205.6+6449,PSR,
113,J0208.6+3522,bzb,
114,J0209.3-5229,bzb,
115,J0210.6-5101,bzb,J0210.8-5100
116,J0211.2+1049,bzb,
117,J0212.3+5319,,
118,J0213.2+2244,bzb,
119,J0214.1+6020,,
120,J0217.0-0829,bzq,
121,J0217.2+0834,agu,
122,J0217.8+7353,bzq,
123,J0217.9+0144,bzq,J0217.8+0146
124,J0217.9-6630,,
125,J0218.1+4232,PSR,
126,J0218.8+6158c,spp,
127,J0220.0+6257,spp,
128,J0221.0+3555,bzq,J0220.9+3607
129,J0222.1-1618,bzq,
130,J0222.6+4302,bzb,J0222.6+4302
131,J0223.0-1118,,
132,J0224.0+6201c,,
133,J0226.0+3922,,
134,J0226.3+0937,,
135,J0229.3-3644,bzq,J0229.5-3640
136,J0230.8+4031,bzq,
137,J0233.4+6654,,
138,J0237.5-3603,agu,
139,J0237.9+2848,bzq,J0238.4+2855
140,J0238.3-6132,bzq,
141,J0238.6-3117,bzb,
142,J0238.6+1637,bzb,J0238.6+1636
143,J0239.5+1324,,
144,J0240.5+6113,HXB,J0240.3+6113
145,J0242.7+0007,,
146,J0243.5+7116,bzb,
147,J0245.4+2413,bzq,
148,J0245.9-4652,bzq,J0245.6-4656
149,J0247.4-6003,,
150,J0248.3+6021,PSR,
151,J0248.7+5127,,
152,J0250.4+1715,bzq,
153,J0251.5+5634,,
154,J0252.8-2219,bzq,
155,J0254.2+5107,agu,
156,J0256.1+0323,,
157,J0256.9+2920,,
158,J0257.8-1204,bzq,
159,J0258.0+2033,bzb,
160,J0259.5+0743,bzq,
161,J0259.9+5925,,
162,J0303.1+4711,bzb,
163,J0303.4-6209,bzq,
164,J0303.5-2406,bzb,J0303.7-2410
165,J0305.0-0601,bzb,
166,J0305.2-1601,,
167,J0307.5+4916,,
168,J0308.3+0403,agn,
169,J0308.6+7442,,
170,J0310.1-6058,bzq,
171,J0310.6+3812,bzq,
172,J0311.3-0922,,
173,J0312.6+0131,bzq,
174,J0315.6-5109,,
175,J0315.9-2609,bzb,
176,J0315.9-1033,bzq,
177,J0316.1+0904,bzb,
178,J0316.3-6438,,
179,J0318.1+0254,,
180,J0319.7+1847,bzb,
181,J0319.7+4130,agn,J0320.0+4131
182,J0322.1+2336,bzb,
183,J0323.7-0106,bzb,
184,J0325.0+3403,agn,
185,J0325.6-5626,agu,
186,J0325.9-1649,bzb,
187,J0325.9+2219,bzq,
188,J0326.2+0222,bzb,
189,J0332.0+6310,,
190,J0333.7+2919,,
