,2FGL,CLASS1-2FGL,2FGL-BSL,2FGL-1FGL
0,J0000.9-0748,bzb,,J0000.9-0745
1,J0001.7-4159,,,J0001.9-4158
2,J0002.7+6220,,,J0003.1+6227
3,J0004.2+2208,,,J0004.3+2207
4,J0004.7-4736,bzq,,J0004.7-4737
5,J0006.1+3821,bzq,,J0005.7+3815
6,J0007.0+7303,PSR,J0007.4+7303,J0007.0+7303
7,J0007.7+6825c,,,J0005.1+6829
8,J0007.8+4713,bzb,,
9,J0008.7-2344,bzb,,
10,J0009.0+0632,bzb,,J0008.9+0635
11,J0009.1+5030,agu,,J0009.1+5031
12,J0009.9-3206,,,
13,J0010.5+6556c,agu,,
14,J0011.3+0054,bzq,,J0011.1+0050
15,J0012.9-3954,bzb,,J0013.1-3952
16,J0013.8+1907,bzb,,
17,J0014.3-0509,,,
18,J0017.4-0018,,,J0017.7-0019
19,J0017.6-0510,bzq,J0017.4-0503,J0017.4-0510
20,J0018.5+2945,bzb,,J0018.6+2945
21,J0018.8-8154,agu,,
22,J0019.4-5645,agu,,
23,J0021.6-2551,bzb,,J0021.7-2556
24,J0022.2-1853,agu,,J0022.2-1850
25,J0022.3-5141,agu,,
26,J0022.5+0607,bzb,,J0022.5+0607
27,J0023.2+4454,bzq,,J0023.0+4453
28,J0023.5+0924,psr,,J0023.5+0930
29,J0023.9-7204,glc,J0025.1-7202,J0023.9-7204
30,J0024.5+0346,bzq,,J0024.6+0346
31,J0029.2-7043,bzb,,
32,J0030.2-4223,bzq,,J0029.9-4221
33,J0030.4+0450,PSR,J0030.3+0450,J0030.4+0451
34,J0031.0+0724,,,J0030.7+0724
35,J0032.7-5521,,,J0032.7-5519
36,J0033.5-1921,bzb,J0033.6-1921,J0033.5-1921
37,J0034.4-0534,PSR,,J0034.3-0534
38,J0035.2+1515,bzb,,J0035.1+1516
39,J0035.8+5951,bzb,J0036.7+5951,J0035.9+5951
40,J0037.8+1238,bzb,,J0038.0+1236
41,J0038.1+0015,bzb,,
42,J0038.3-2457,bzq,,J0038.4-2504
43,J0038.7-2215,,,
44,J0038.8+6259,,,J0038.6+6306
45,J0039.1+4331,,,J0039.2+4331
46,J0042.5+4114,gal,,
47,J0043.7+3426,bzq,,J0043.6+3424
48,J0044.7-3702,agu,,
49,J0045.3+2127,bzb,,J0045.3+2127
50,J0045.5+1218,agu,,
51,J0046.7-8416,bzq,,J0048.0-8412
52,J0047.0-2516,sbg,,J0047.3-2512
53,J0047.2+5657,bzb,,J0046.8+5658
54,J0047.9+2232,bzq,,J0048.0+2232
55,J0048.8-6347,,,
56,J0049.7-5738,bzq,,J0049.8-5738
57,J0050.1-0452,bzq,,J0050.0-0446
58,J0050.2+0234,bzb,,J0050.2+0235
59,J0050.6-0929,bzb,J0050.5-0928,J0050.6-0928
60,J0051.0-0648,bzq,J0051.1-0647,J0051.1-0649
61,J0051.4-6241,agu,,J0051.4-6242
62,J0055.0-2454,agu,,J0054.9-2455
63,J0056.8-2111,agu,,
64,J0057.9+3311,bzq,,J0058.0+3314
65,J0057.9-3236,bzb,,J0058.4-3235
66,J0059.0-7242e,GAL,,J0101.3-7257
67,J0059.2-0151,agu,,
68,J0059.7-5700,agu,,
69,J0100.2+0746,bzb,J0100.2+0750,J0100.2+0747
70,J0101.2-6425,PSR,,J0101.0-6423
71,J0102.2+0943,,,J0102.3+0942
72,J0102.3+4216,bzq,,J0102.2+4223
73,J0102.7+5827,bzq,,J0102.8+5827
74,J0102.9+4838,psr,,J0103.1+4840
75,J0103.5+5336,agu,,
76,J0103.8+1324,,,
77,J0105.0-2411,bzq,,J0104.4-2406
78,J0105.3+3930,bzb,,J0105.7+3930
79,J0106.5+4854,,,J0106.7+4853
80,J0108.6+0135,bzq,,J0108.6+0135
81,J0109.0+1817,bzb,,J0109.0+1816
82,J0109.9+6132,bzq,,
83,J0110.3+6805,agu,,J0110.0+6806
84,J0112.1+2245,bzb,J0112.1+2247,J0112.0+2247
85,J0112.8+3208,bzq,,J0112.9+3207
86,J0113.2-3557,bzq,,
87,J0113.7+4948,bzq,,J0113.8+4945
88,J0114.7+1326,bzq,,J0114.4+1327
89,J0115.4+0358,bzb,,J0115.7+0357
90,J0115.7+2518,bzb,,J0115.5+2519
91,J0116.0-1134,bzq,,J0115.5-1132
92,J0116.6-6153,,,
93,J0118.6-4631,,,
94,J0118.8-2142,bzq,J0118.7-2139,J0118.7-2137
95,J0120.4-2700,bzb,J0120.5-2703,J0120.5-2700
96,J0122.6+3425,,,
97,J0124.5-0621,bzb,,J0124.6-0616
98,J0124.6-2322,,,
99,J0127.2+0324,,,J0127.0+0322
100,J0128.0+6330,spp,,
101,J0128.4+4431,bzq,,J0128.6+4439
102,J0129.4+2618,,,
103,J0131.1+6121,agu,,J0131.2+6121
104,J0132.8-1654,bzq,,J0132.6-1655
105,J0133.4-4408,,,
106,J0134.4+2636,agu,,J0134.4+2632
107,J0136.5+3905,bzb,J0136.6+3903,J0136.5+3905
108,J0136.9+4751,bzq,J0137.1+4751,J0137.0+4751
109,J0137.6-2430,bzq,,J0137.5-2428
110,J0137.7+5811,agu,,J0137.8+5814
111,J0141.5-0928,bzb,,J0141.7-0929
112,J0143.6-5844,,,J0143.9-5845
113,J0144.6+2704,bzb,J0144.5+2709,J0144.6+2703
114,J0145.1-2732,bzq,J0145.1-2728,J0144.9-2732
115,J0146.6-5206,agu,,
116,J0148.6+0127,agu,,
117,J0152.6+0148,bzb,,
