,3FGL,CLASS1-3FGL,3FGL-BSL,3FGL-1FGL,3FGL-2FGL
0,J0000.1+6545,,,,J2359.6+6543c
1,J0000.2-3738,,,,
2,J0001.0+6314,spp,,,J2358.9+6325
3,J0001.2-0748,bll,,J0000.9-0745,J0000.9-0748
4,J0001.4+2120,fsrq,,,
5,J0001.6+3535,,,,
6,J0002.0-6722,,,,
7,J0002.2-4152,bcu,,J0001.9-4158,J0001.7-4159
8,J0002.6+6218,,,,J0002.7+6220
9,J0003.2-5246,bcu,,,
10,J0003.4+3100,,,,
11,J0003.5+5721,,,,
12,J0003.8-1151,bcu,,,
13,J0004.2+6757,,,,
14,J0004.2+0843,,,,
15,J0004.7-4740,fsrq,,J0004.7-4737,J0004.7-4736
16,J0006.2+0135,,,,
17,J0006.4+3825,fsrq,,J0005.7+3815,J0006.1+3821
18,J0006.6+4618,,,,
19,J0007.0+7302,PSR,J0007.4+7303,J0007.0+7303,J0007.0+7303
20,J0007.4+1742,,,,
21,J0007.9+4006,,,,
22,J0008.0+4713,bll,,,J0007.8+4713
23,J0008.3+1456,,,J0008.3+1452,
24,J0008.5+6853,,,J0005.1+6829,J0007.7+6825c
25,J0008.6-2340,bll,,,J0008.7-2344
26,J0008.7+6558,,,,J0010.5+6556c
27,J0009.1+0630,bll,,J0008.9+0635,J0009.0+0632
28,J0009.3+5030,bll,,J0009.1+5031,J0009.1+5030
29,J0009.6-3211,bcu,,,J0009.9-3206
30,J0010.5-1425,,,,
31,J0012.4+7040,bcu,,,
32,J0013.2-3954,bll,,J0013.1-3952,J0012.9-3954
33,J0013.9-1853,bll,,,
34,J0014.0-5025,bll,,J0013.7-5022,
35,J0014.3-0455,,,,
36,J0014.6+6119,bcu,,,
37,J0014.7+5802,bll,,,
38,J0015.7+5552,bcu,,,
39,J0016.3-0013,fsrq,,,J0017.4-0018
40,J0016.5+1713,,,J0016.6+1706,
41,J0017.1+1445,,,,
42,J0017.2-0643,bcu,,,
43,J0017.6-0512,FSRQ,J0017.4-0503,J0017.4-0510,J0017.6-0510
44,J0018.4+2947,bll,,J0018.6+2945,J0018.5+2945
45,J0018.9-8152,bll,,,J0018.8-8154
46,J0019.1-5645,bcu,,,J0019.4-5645
47,J0019.4+2021,bll,,J0019.3+2017,
48,J0020.9+0323,,,,
49,J0021.6-6835,bcu,,,
