,3fgl,3fgl_features,3fgl_labels
0,J0000.1+6545,"[2.4109559059143066, 3.7075421464133553, -27.62569228666238, -26.901940407154328, 1.2227793558154416, -0.8187578621935009]",[1]
1,J0000.2-3738,"[1.866731882095337, 3.8032191870813907, -31.572484153523227, -28.030842998052268, 0.40310006230909823, -0.3327508773425968]",[1]
2,J0001.6+3535,"[2.3505215644836426, 3.4779820834666952, -28.87831199466461, -27.86393860440402, -1.9187252976738842, -0.7625443450706857]",[1]
3,J0002.0-6722,"[1.946061372756958, 3.8313551023606913, -30.661410131236615, -27.90451112375519, 0.31386218817238465, -0.589408614533524]",[1]
4,J0002.6+6218,"[2.0862560272216797, 3.8716906822336505, -26.17163594467321, -27.09017557853559, 1.9800005308519917, -0.7886313770658465]",[1]
5,J0003.4+3100,"[2.553837299346924, 3.6515926531326808, -26.924411463525026, -27.875721978452916, 0.26999224013213596, -0.8963566781477942]",[1]
6,J0003.5+5721,"[2.183058261871338, 3.437894547754549, -29.85070499651915, -27.52068054539671, 0.5991388304005333, -0.09169301971023565]",[1]
7,J0004.2+6757,"[2.4968366622924805, 3.5500360169763505, -28.13952774218265, -26.841616930645813, 1.364058244502399, -0.8063565697505346]",[1]
8,J0004.2+0843,"[2.0504424571990967, 3.8140060482343277, -30.972925266695533, -27.860310766476555, -0.2352994291649611, -0.7207888824575808]",[1]
9,J0006.2+0135,"[2.1869003772735596, 3.8191673912776904, -29.957469212966085, -27.89754942572694, -1.778628108341052, -0.7712489638500445]",[1]
10,J0006.6+4618,"[2.417259693145752, 3.888137870847306, -28.992049019482746, -27.616043380369984, -0.07278060525101489, -0.7847828384927389]",[1]
11,J0007.4+1742,"[2.31195330619812, 3.8409798954280823, -29.149302366456656, -27.884762162064476, -0.22643607247041095, -0.7971411405154007]",[1]
12,J0007.9+4006,"[2.275604486465454, 3.79300492396931, -29.518621941388016, -27.81125328323451, -0.020848937980927476, -0.7584139875832114]",[1]
13,J0008.3+1456,"[2.2695491313934326, 3.5392097785596297, -28.591714119300775, -27.81236559416826, 0.4497952698105705, -0.7946884980161151]",[1]
14,J0008.5+6853,"[2.4229047298431396, 3.556326542929983, -26.180751652938852, -27.397023799225583, 1.8704037732790706, -0.843066054586548]",[1]
15,J0008.7+6558,"[2.5078444480895996, 3.7557668263922355, -24.95507146136339, -27.172156539601982, 1.8495207678468089, -0.8534738366620938]",[1]
16,J0010.5-1425,"[2.30835223197937, 4.034630606460684, -28.762894235720506, -27.99461530214686, 1.047668413035857, -0.34470002486487816]",[1]
17,J0014.3-0455,"[2.5040531158447266, 3.9960421948830125, -27.952167599568618, -27.448810736173087, 0.06123590847495353, -0.8438658659989351]",[1]
18,J0016.5+1713,"[2.4381189346313477, 3.968095476418074, -28.404942298803388, -27.871782762489993, 0.813639428522965, -0.8276525492585041]",[1]
19,J0017.1+1445,"[1.8830268383026123, 3.587495367303421, -31.547287701983617, -27.828496889829328, 0.1615234359418186, 0.02862208508384064]",[1]
20,J0020.9+0323,"[1.639902114868164, 3.9966331379873834, -32.66525153904763, -27.72890089945561, 0.4327127201500953, 0.1350426745851078]",[1]
21,J0022.7+4651,"[2.784271001815796, 3.641846420860642, -26.57287947649967, -27.729658178025804, -1.663863874789097, -0.9025115834676403]",[1]
22,J0026.2-4812,"[2.1874866485595703, 3.9423833135217388, -29.405559853297188, -28.02364860098698, -0.39339708222885234, -0.7411475005685759]",[1]
23,J0031.2-2320,"[2.139113187789917, 3.5117344477575867, -29.859866747659737, -28.04248518716892, 0.5911794669612936, -0.3174278946261303]",[1]
24,J0031.6+0938,"[2.657186508178711, 3.361062167635337, -27.413061150053554, -27.733198526226584, -0.4984935420843155, -0.7725729224967928]",[1]
25,J0032.3-5522,"[2.274585247039795, 6.235901803402848, -27.23457892203035, -27.77464221150478, 0.31779643354180054, -0.7936472486133613]",[1]
26,J0032.5+3912,"[2.563908100128174, 3.5608494980013035, -27.86534757499039, -27.84657063487204, -0.39036994075601705, -0.8203743797164822]",[1]
27,J0039.3+6256,"[1.874800205230713, 4.057733143313814, -27.815314180529832, -27.49709378729681, 2.0044840167992795, -0.21055633797974577]",[1]
28,J0048.1-6343,"[2.108412027359009, 3.9503576561423306, -29.56835375483685, -27.995943103171815, 1.2123953958626876, -0.0704359714733375]",[1]
29,J0049.0+4224,"[1.7653671503067017, 3.5725180987362792, -32.39110484572696, -27.82127874200839, -0.4755638163191846, -0.41709319077701823]",[1]
30,J0051.6+6445,"[2.2792558670043945, 3.7877248040595046, -28.99349751975246, -27.151148153007917, -0.1872993260520221, -0.8213079848381846]",[1]
31,J0102.1+4458,"[2.2651009559631348, 3.707005463587132, -29.900208440686985, -27.897000635120076, -1.0210373028884947, -0.7676193058442452]",[1]
32,J0102.1+0943,"[2.065023422241211, 3.731490374894761, -29.7671358787661, -27.712073612030004, -0.7310816757674657, -0.7049525282594206]",[1]
33,J0112.9-7506,"[2.1721508502960205, 3.6784767361362145, -29.77516301662505, -27.97391940421112, -3.0862578821082396, -0.7958757711935625]",[1]
34,J0114.8+1917,"[2.310237169265747, 3.6491074797301346, -29.87328077361083, -27.8838486355132, -0.5757925423845399, -0.778336640581008]",[1]
35,J0116.8+6913,"[2.7590959072113037, 3.924471295493958, -26.076318288973972, -27.18829401436344, 0.6454817253220596, -0.9326677096131595]",[1]
36,J0121.8-3917,"[1.799410343170166, 3.613508651022086, -32.3810153260974, -27.999224822489378, 0.0, 0.029403393862515635]",[1]
37,J0127.4+5433,"[2.5324935913085938, 3.5893625835845246, -27.74272693589387, -27.456096391374718, -0.6323972425710364, -0.7908206302420768]",[1]
38,J0127.5+5634,"[2.5862624645233154, 3.9870394164498366, -26.92276227100955, -27.338717894243036, -1.097639358664211, -0.7994600815552929]",[1]
39,J0127.6+4851,"[2.4481723308563232, 4.204564505679566, -28.493668253838216, -27.673130769127315, -1.783416814119543, -0.8400560552859885]",[1]
40,J0132.1-5340,"[2.3194029331207275, 3.552486982233475, -29.273136140647647, -28.006481492879278, -0.5396751339890892, -0.7418007060585976]",[1]
41,J0133.2-4737,"[2.7074742317199707, 3.509401103468085, -27.0931224522629, -28.010902327865196, -1.7876961127669475, -0.8026846171499912]",[1]
42,J0133.3+5930,"[2.2115478515625, 3.7511711892296407, -30.184291986093182, -27.41079320136076, -0.5584548420730658, -0.7623900870924195]",[1]
43,J0138.5-4612,"[2.0609827041625977, 3.6933890194102976, -30.121151278124675, -27.957480446642087, -0.5641880963143303, -0.725639261753295]",[1]
44,J0149.6+4846,"[2.6199347972869873, 3.5754122551860443, -27.57919758527614, -27.611706336765184, -0.01615576484437719, -0.8232680870382729]",[1]
