,4FGLDR3,CLASS1-4FGLDR3,4FGLDR3-3FGL
0,J0000.3-7355,,
1,J0000.5+0743,,
2,J0000.7+2530,,
3,J0001.2+4741,bcu,
4,J0001.2-0747,bll,J0001.2-0748
5,J0001.4-0010,bll,
6,J0001.5+2113,fsrq,J0001.4+2120
7,J0001.6+3503,,
8,J0001.6-4156,bcu,J0002.2-4152
9,J0001.8-2153,bcu,
10,J0002.1-6728,bll,J0002.0-6722
11,J0002.1+6721c,unk,
12,J0002.3-0815,bcu,
13,J0002.4-5156,bcu,
14,J0002.7+7220,spp,
15,J0002.8+6217,PSR,J0002.6+6218
16,J0003.1-5248,bcu,J0003.2-5246
17,J0003.2+2207,bll,
18,J0003.3+2511,,
19,J0003.3-1928,bcu,
20,J0003.3-5905,bcu,
21,J0003.5+0717,bcu,
22,J0003.6+3059,,J0003.4+3100
23,J0003.9-1149,bll,J0003.8-1151
24,J0004.0+5715,,J0003.5+5721
25,J0004.0+0840,bll,J0004.2+0843
26,J0004.3+4614,fsrq,
27,J0004.4-4737,fsrq,J0004.7-4740
28,J0004.4-4001,,
29,J0005.6+6746c,,
30,J0005.9+3824,fsrq,J0006.4+3825
31,J0006.3-1813,,
32,J0006.3-0620,bll,
33,J0006.4+0135,bll,J0006.2+0135
34,J0006.4-5621,bll,
35,J0006.6+4618,,J0006.6+4618
36,J0007.0+7303,PSR,J0007.0+7302
37,J0007.4-0322,,
38,J0007.7+4008,bcu,J0007.9+4006
39,J0008.0+4711,bll,J0008.0+4713
40,J0008.0-3937,bcu,
41,J0008.4+6926,,
42,J0008.4-2339,bll,J0008.6-2340
43,J0008.4+1455,bcu,J0008.3+1456
44,J0008.9+2509,,
45,J0009.1-5012,,
46,J0009.1+0628,bll,J0009.1+0630
47,J0009.2+6847,,J0008.5+6853
48,J0009.2+1745,,
49,J0009.3+5030,bll,J0009.3+5030
50,J0009.7-1418,,J0010.5-1425
51,J0009.7-3217,rdg,J0009.6-3211
52,J0009.8-4317,bll,
53,J0009.8+1340,bcu,
54,J0009.8-6358,bcu,
55,J0009.9+2810,,
56,J0010.1+1631,,
57,J0010.2-2431,,
58,J0010.6+2043,fsrq,
59,J0010.6-3025,fsrq,
60,J0010.8-2154,bcu,
61,J0011.4-4110,bcu,
62,J0011.4+0057,fsrq,J0011.3+0054
63,J0011.8-3142,bcu,
64,J0012.0+7043,bcu,J0012.4+7040
65,J0013.0+3355,fsrq,
66,J0013.1-3955,bll,J0013.2-3954
67,J0013.4+0950,bcu,
68,J0013.6+4051,agn,
69,J0013.6-0424,fsrq,
70,J0013.9-1854,bll,J0013.9-1853
71,J0014.1+1910,bll,J0013.8+1907
72,J0014.1-5022,bll,J0014.0-5025
73,J0014.2+0854,bll,
74,J0014.3-0500,bcu,J0014.3-0455
75,J0014.7+5801,bll,J0014.7+5802
76,J0014.8+6118,bcu,J0014.6+6119
77,J0014.9+3212,bcu,
78,J0015.2+3537,bll,
79,J0015.6+5551,bll,J0015.7+5552
80,J0015.9+2440,bll,
81,J0016.2-0016,fsrq,J0016.3-0013
82,J0016.5+1702,fsrq,J0016.5+1713
83,J0017.0-0649,bcu,J0017.2-0643
84,J0017.1-4605,,
85,J0017.4+6506,,
86,J0017.5-0514,FSRQ,J0017.6-0512
87,J0017.8+1455,bll,
88,J0018.4+2946,bll,J0018.4+2947
89,J0018.8+5112,,
90,J0018.8+2611,fsrq,
91,J0019.2-5640,bcu,J0019.1-5645
92,J0019.3-8152,bll,J0018.9-8152
93,J0019.6+7327,fsrq,
94,J0019.6+2022,bll,J0019.4+2021
95,J0020.3+6919,bcu,
96,J0021.0+0322,bll,J0020.9+0323
97,J0021.5-2552,bll,J0021.6-2553
98,J0021.6-0855,bll,
99,J0021.9-5140,bll,J0022.1-5141
100,J0022.0+0006,bll,
101,J0022.0-5921,,
102,J0022.1-1854,bll,J0022.1-1855
103,J0022.5+0608,bll,J0022.5+0608
104,J0023.2+8412,,
105,J0023.4+0920,MSP,J0023.4+0923
106,J0023.6-4209,,
107,J0023.7-6820,fsrq,J0021.6-6835
108,J0023.7+4457,fsrq,J0023.5+4454
109,J0023.9+1603,bll,
110,J0024.0-7204,glc,J0023.9-7203
111,J0024.1+2402,,
112,J0024.1+7909,,
113,J0024.4+4647,bcu,
114,J0024.5-0810,bcu,
115,J0024.7+0349,fsrq,J0024.4+0350
116,J0025.0-2320,,
117,J0025.2-2231,fsrq,
118,J0025.3+6408,snr,J0025.7+6404
119,J0025.4-4838,,
120,J0025.5-5936,,
121,J0025.7-4801,bcu,
122,J0026.1-0732,,
123,J0026.2+3926,,
124,J0026.6-4600,bll,J0026.7-4603
125,J0028.1+7505,bcu,J0028.6+7507
126,J0028.5+2001,fsrq,J0028.8+1951
127,J0028.8-0112,bll,
128,J0028.9+3553,bll,
129,J0029.0-7044,bll,J0029.1-7045
130,J0029.4+2051,bcu,
131,J0030.2-1647,bll,J0030.2-1646
132,J0030.3-4224,fsrq,J0030.3-4223
133,J0030.4+0451,MSP,J0030.4+0451
134,J0030.6-0212,fsrq,J0030.7-0209
135,J0030.6+0539,,
136,J0030.9-3618,,
137,J0031.0-2327,,J0031.2-2320
138,J0031.3+0726,bll,J0031.3+0724
139,J0031.5-4025,,
140,J0031.5-5648,,
141,J0032.3-5522,bcu,J0032.3-5522
142,J0032.3-5539,,
143,J0032.4-2849,bll,J0032.3-2852
144,J0032.5-4724,bcu,
145,J0033.3-2040,bll,
146,J0033.5-1921,bll,J0033.6-1921
147,J0033.9+3858,bcu,
148,J0034.0-4116,bcu,
149,J0034.3-0534,MSP,J0034.3-0534
150,J0034.6+6438,,
151,J0035.0-5728,bcu,
152,J0035.2+1514,bll,J0035.2+1513
153,J0035.2-1739,,
154,J0035.8-0837,bll,
155,J0035.8+6131,bcu,
156,J0035.9+5950,bll,J0035.9+5949
157,J0036.8+1431,bcu,
158,J0036.9+1832,bcu,
159,J0037.2-2653,,
160,J0037.6+3653,fsrq,
161,J0037.8+1239,bll,J0037.9+1239
162,J0037.9+2612,bll,
163,J0038.1+0012,bll,J0038.0+0012
164,J0038.2-2459,fsrq,J0038.0-2501
165,J0038.7-0204,rdg,
166,J0039.0-0946,fsrq,J0039.1-0939
167,J0039.1-2219,bll,J0039.0-2218
168,J0039.1+6257,,J0039.3+6256
169,J0039.1+4330,bcu,J0039.1+4330
170,J0039.7+4203,,
171,J0040.2-2725,,
172,J0040.3+4050,bll,J0040.3+4049
173,J0040.4-2340,bll,J0040.5-2339
174,J0040.7-7157,,
175,J0040.9+3203,bcu,
176,J0041.3+6052,bcu,
177,J0041.4+3800,fsrq,
178,J0041.7-1607,bcu,
179,J0041.9-4702,bll,
180,J0042.0+3640,bll,J0041.9+3639
181,J0042.2+2319,fsrq,J0042.0+2318
182,J0042.3+3509,,
183,J0043.2+4114,gal,J0042.5+4117
184,J0043.5-0442,bll,J0043.5-0444
185,J0043.6+2223,bcu,
186,J0043.7-1116,bll,J0043.7-1117
187,J0043.8+3425,fsrq,J0043.8+3425
188,J0044.2-8424,fsrq,J0046.7-8419
189,J0044.8+6802,bcu,
190,J0044.9+4553,bcu,
191,J0045.1-3706,fsrq,J0045.2-3704
192,J0045.3+2128,bll,J0045.3+2126
193,J0045.7+1217,bll,J0045.7+1217
194,J0045.8-1324,,
195,J0045.9-2021,,
196,J0046.7-7048,,
197,J0046.9+0705,,
198,J0047.0+5657,bll,J0047.0+5658
199,J0047.1-6203,bcu,
200,J0047.3+6943,unk,
201,J0047.5-2517,sbg,J0047.5-2516
202,J0047.9+3947,bll,J0048.0+3950
203,J0047.9+5448,bcu,J0047.9+5447
204,J0047.9+2233,fsrq,J0048.0+2236
205,J0048.6-6347,,J0048.1-6343
206,J0048.6-2427,bcu,
207,J0049.0+2252,bll,
208,J0049.1+4223,bll,J0049.0+4224
209,J0049.4-5402,bll,J0049.4-5401
210,J0049.5-4150,bcu,J0049.4-4149
211,J0049.6-4500,fsrq,J0050.0-4458
212,J0049.7+0237,bll,J0049.7+0237
213,J0050.0-5736,fsrq,J0049.8-5737
214,J0050.4-0452,fsrq,J0050.4-0449
215,J0050.7-0929,BLL,J0050.6-0929
216,J0050.8-3428,bcu,
217,J0051.1-0648,fsrq,J0051.0-0649
218,J0051.2-6242,bll,J0051.2-6241
