,3FGL,4FGLDR1,4FGLDR2,4FGLDR3,4FGLDR4,status
3,J0001.2-0748,J0001.2-0747,J0001.2-0747,J0001.2-0747,J0001.2-0747,2
4,J0001.4+2120,J0001.5+2113,J0001.5+2113,J0001.5+2113,J0001.5+2113,2
7,J0002.2-4152,J0001.6-4156,J0001.6-4156,J0001.6-4156,J0001.6-4156,2
9,J0003.2-5246,J0003.1-5248,J0003.1-5248,J0003.1-5248,J0003.1-5248,2
12,J0003.8-1151,J0003.9-1149,J0003.9-1149,J0003.9-1149,J0003.9-1149,3
15,J0004.7-4740,J0004.4-4737,J0004.4-4737,J0004.4-4737,J0004.4-4737,2
17,J0006.4+3825,J0005.9+3824,J0005.9+3824,J0005.9+3824,J0005.9+3824,2
19,J0007.0+7302,J0007.0+7303,J0007.0+7303,J0007.0+7303,J0007.0+7303,2
22,J0008.0+4713,J0008.0+4711,J0008.0+4711,J0008.0+4711,J0008.0+4711,2
25,J0008.6-2340,J0008.4-2339,J0008.4-2339,J0008.4-2339,J0008.4-2339,2
27,J0009.1+0630,J0009.1+0628,J0009.1+0628,J0009.1+0628,J0009.1+0628,2
28,J0009.3+5030,J0009.3+5030,J0009.3+5030,J0009.3+5030,J0009.3+5030,2
29,J0009.6-3211,J0009.7-3217,J0009.7-3217,J0009.7-3217,J0009.7-3217,3
31,J0012.4+7040,J0012.0+7043,J0012.0+7043,J0012.0+7043,J0012.0+7043,2
32,J0013.2-3954,J0013.1-3955,J0013.1-3955,J0013.1-3955,J0013.1-3955,2
33,J0013.9-1853,J0013.9-1854,J0013.9-1854,J0013.9-1854,J0013.9-1854,2
34,J0014.0-5025,J0014.1-5022,J0014.1-5022,J0014.1-5022,J0014.1-5022,2
36,J0014.6+6119,J0014.8+6118,J0014.8+6118,J0014.8+6118,J0014.8+6118,2
37,J0014.7+5802,J0014.7+5801,J0014.7+5801,J0014.7+5801,J0014.7+5801,2
38,J0015.7+5552,J0015.6+5551,J0015.6+5551,J0015.6+5551,J0015.6+5551,3
39,J0016.3-0013,J0016.2-0016,J0016.2-0016,J0016.2-0016,J0016.2-0016,2
42,J0017.2-0643,J0017.0-0649,J0017.0-0649,J0017.0-0649,J0017.0-0649,2
43,J0017.6-0512,J0017.5-0514,J0017.5-0514,J0017.5-0514,J0017.5-0514,2
44,J0018.4+2947,J0018.4+2946,J0018.4+2946,J0018.4+2946,J0018.4+2946,2
45,J0018.9-8152,J0019.3-8152,J0019.3-8152,J0019.3-8152,J0019.3-8152,2
46,J0019.1-5645,J0019.2-5640,J0019.2-5640,J0019.2-5640,J0019.2-5640,2
47,J0019.4+2021,J0019.6+2022,J0019.6+2022,J0019.6+2022,J0019.6+2022,2
49,J0021.6-6835,J0023.7-6820,J0023.7-6820,J0023.7-6820,J0023.7-6820,3
50,J0021.6-2553,J0021.5-2552,J0021.5-2552,J0021.5-2552,J0021.5-2552,2
51,J0022.1-1855,J0022.1-1854,J0022.1-1854,J0022.1-1854,J0022.1-1854,2
52,J0022.1-5141,J0021.9-5140,J0021.9-5140,J0021.9-5140,J0021.9-5140,2
53,J0022.5+0608,J0022.5+0608,J0022.5+0608,J0022.5+0608,J0022.5+0608,2
55,J0023.4+0923,J0023.4+0920,J0023.4+0920,J0023.4+0920,J0023.4+0920,3
56,J0023.5+4454,J0023.7+4457,J0023.7+4457,J0023.7+4457,J0023.7+4457,2
57,J0023.9-7203,J0024.0-7204,J0024.0-7204,J0024.0-7204,J0024.0-7204,2
58,J0024.4+0350,J0024.7+0349,J0024.7+0349,J0024.7+0349,J0024.7+0349,2
59,J0025.7+6404,J0025.3+6408,J0025.3+6408,J0025.3+6408,J0025.3+6408,2
61,J0026.7-4603,J0026.6-4600,J0026.6-4600,J0026.6-4600,J0026.6-4600,2
62,J0028.6+7507,J0028.1+7505,J0028.1+7505,J0028.1+7505,J0028.1+7505,2
63,J0028.8+1951,J0028.4+2001,J0028.4+2001,J0028.5+2001,J0028.5+2001,3
64,J0029.1-7045,J0029.0-7044,J0029.0-7044,J0029.0-7044,J0029.0-7044,2
65,J0030.2-1646,J0030.2-1647,J0030.2-1647,J0030.2-1647,J0030.2-1647,3
66,J0030.3-4223,J0030.3-4224,J0030.3-4224,J0030.3-4224,J0030.3-4224,2
67,J0030.4+0451,J0030.4+0451,J0030.4+0451,J0030.4+0451,J0030.4+0451,3
68,J0030.7-0209,J0030.6-0212,J0030.6-0212,J0030.6-0212,J0030.6-0212,3
70,J0031.3+0724,J0031.3+0726,J0031.3+0726,J0031.3+0726,J0031.3+0726,3
72,J0032.3-2852,J0032.4-2849,J0032.4-2849,J0032.4-2849,J0032.4-2849,2
75,J0033.6-1921,J0033.5-1921,J0033.5-1921,J0033.5-1921,J0033.5-1921,2
76,J0034.3-0534,J0034.3-0534,J0034.3-0534,J0034.3-0534,J0034.3-0534,3
77,J0035.2+1513,J0035.2+1514,J0035.2+1514,J0035.2+1514,J0035.2+1514,2
78,J0035.9+5949,J0035.9+5950,J0035.9+5950,J0035.9+5950,J0035.9+5950,2
79,J0037.9+1239,J0037.8+1239,J0037.8+1239,J0037.8+1239,J0037.8+1239,2
80,J0038.0-2501,J0038.2-2459,J0038.2-2459,J0038.2-2459,J0038.2-2459,2
81,J0038.0+0012,J0038.1+0012,J0038.1+0012,J0038.1+0012,J0038.1+0012,2
82,J0039.0-2218,J0039.1-2219,J0039.1-2219,J0039.1-2219,J0039.1-2219,3
83,J0039.1-0939,J0039.0-0946,J0039.0-0946,J0039.0-0946,J0039.0-0946,2
84,J0039.1+4330,J0039.1+4330,J0039.1+4330,J0039.1+4330,J0039.1+4330,2
86,J0040.3+4049,J0040.3+4050,J0040.3+4050,J0040.3+4050,J0040.3+4050,3
87,J0040.5-2339,J0040.4-2340,J0040.4-2340,J0040.4-2340,J0040.4-2340,3
88,J0041.9+3639,J0042.0+3640,J0042.0+3640,J0042.0+3640,J0042.0+3640,2
89,J0042.0+2318,J0042.2+2319,J0042.2+2319,J0042.2+2319,J0042.2+2319,2
90,J0042.5+4117,J0043.2+4114,J0043.2+4114,J0043.2+4114,J0043.2+4114,2
