,BSL,CLASS1-BSL,1FGL,CLASS1-1FGL,1FGL-BSL,2FGL,CLASS1-2FGL,2FGL-BSL,2FGL-1FGL
0,J0007.4+7303,PSR,J0007.0+7303,PSR,J0007.4+7303,J0007.0+7303,PSR,J0007.4+7303,J0007.0+7303
1,J0017.4-0503,bzq,J0017.4-0510,bzq,J0017.4-0503,J0017.6-0510,bzq,J0017.4-0503,J0017.4-0510
2,J0025.1-7202,glb,J0023.9-7204,glc,J0025.1-7202,J0023.9-7204,glc,J0025.1-7202,J0023.9-7204
3,J0030.3+0450,PSR,J0030.4+0451,PSR,J0030.3+0450,J0030.4+0450,PSR,J0030.3+0450,J0030.4+0451
4,J0033.6-1921,bzb,J0033.5-1921,bzb,J0033.6-1921,J0033.5-1921,bzb,J0033.6-1921,J0033.5-1921
5,J0036.7+5951,bzb,J0035.9+5951,bzb,J0036.7+5951,J0035.8+5951,bzb,J0036.7+5951,J0035.9+5951
6,J0050.5-0928,bzb,J0050.6-0928,bzb,J0050.5-0928,J0050.6-0929,bzb,J0050.5-0928,J0050.6-0928
7,J0051.1-0647,bzq,J0051.1-0649,bzq,J0051.1-0647,J0051.0-0648,bzq,J0051.1-0647,J0051.1-0649
8,J0100.2+0750,bzu,J0100.2+0747,agu,J0100.2+0750,J0100.2+0746,bzb,J0100.2+0750,J0100.2+0747
9,J0112.1+2247,bzb,J0112.0+2247,bzb,J0112.1+2247,J0112.1+2245,bzb,J0112.1+2247,J0112.0+2247
10,J0118.7-2139,bzq,J0118.7-2137,bzq,J0118.7-2139,J0118.8-2142,bzq,J0118.7-2139,J0118.7-2137
11,J0120.5-2703,bzb,J0120.5-2700,bzb,J0120.5-2703,J0120.4-2700,bzb,J0120.5-2703,J0120.5-2700
12,J0136.6+3903,bzb,J0136.5+3905,bzb,J0136.6+3903,J0136.5+3905,bzb,J0136.6+3903,J0136.5+3905
13,J0137.1+4751,bzq,J0137.0+4751,bzq,J0137.1+4751,J0136.9+4751,bzq,J0137.1+4751,J0137.0+4751
14,J0144.5+2709,bzb,J0144.6+2703,bzb,J0144.5+2709,J0144.6+2704,bzb,J0144.5+2709,J0144.6+2703
15,J0145.1-2728,bzq,J0144.9-2732,bzq,J0145.1-2728,J0145.1-2732,bzq,J0145.1-2728,J0144.9-2732
16,J0204.8-1704,bzq,J0205.0-1702,bzq,J0204.8-1704,J0205.3-1657,bzq,J0204.8-1704,J0205.0-1702
17,J0210.8-5100,bzq,J0210.6-5101,bzb,J0210.8-5100,J0210.7-5102,agu,J0210.8-5100,J0210.6-5101
18,J0217.8+0146,bzq,J0217.9+0144,bzq,J0217.8+0146,J0217.9+0143,bzq,J0217.8+0146,J0217.9+0144
19,J0220.9+3607,bzu,J0221.0+3555,bzq,J0220.9+3607,J0221.0+3555,bzq,J0220.9+3607,J0221.0+3555
20,J0222.6+4302,bzb,J0222.6+4302,bzb,J0222.6+4302,J0222.6+4302,BZB,J0222.6+4302,J0222.6+4302
21,J0229.5-3640,bzq,J0229.3-3644,bzq,J0229.5-3640,J0229.3-3644,bzq,J0229.5-3640,J0229.3-3644
22,J0238.4+2855,bzq,J0237.9+2848,bzq,J0238.4+2855,J0237.8+2846,bzq,J0238.4+2855,J0237.9+2848
23,J0238.6+1636,bzb,J0238.6+1637,bzb,J0238.6+1636,J0238.7+1637,BZB,J0238.6+1636,J0238.6+1637
24,J0240.3+6113,HXB,J0240.5+6113,HXB,J0240.3+6113,J0240.5+6113,HMB,J0240.3+6113,J0240.5+6113
25,J0245.6-4656,bzu,J0245.9-4652,bzq,J0245.6-4656,J0245.9-4652,bzq,J0245.6-4656,J0245.9-4652
