,BSL,CLASS1-BSL,1FGL,CLASS1-1FGL,1FGL-BSL,2FGL,CLASS1-2FGL,2FGL-BSL,2FGL-1FGL,3FGL,CLASS1-3FGL,3FGL-BSL,3FGL-1FGL,3FGL-2FGL
43,J0538.4-6856,,J0538.9-6914,gal,J0538.4-6856,,,,,J0526.6-6825e,GAL,J0538.4-6856,J0538.9-6914,J0526.6-6825e
46,J0614.3-3330,,J0614.1-3328,,J0614.3-3330,J0614.1-3329,PSR,J0614.3-3330,J0614.1-3328,J0614.1-3329,PSR,J0614.3-3330,J0614.1-3328,J0614.1-3329
51,J0643.2+0858,,J0643.2+0859,agu,J0643.2+0858,J0643.2+0858,bzq,J0643.2+0858,J0643.2+0859,J0643.2+0859,fsrq,J0643.2+0858,J0643.2+0859,J0643.2+0858
67,J0910.2-5044,,J0910.4-5055,,J0910.2-5044,J0910.4-5050,agu,J0910.2-5044,J0910.4-5055,,,,,
75,J1024.0-5754,,,,,J1023.5-5749c,,J1024.0-5754,,J1024.3-5757,,J1024.0-5754,,
78,J1045.6-5937,,J1045.2-5942,,J1045.6-5937,J1045.0-5941,,J1045.6-5937,J1045.2-5942,J1045.1-5941,BIN,J1045.6-5937,J1045.2-5942,J1045.0-5941
88,J1115.8-6108,,,,,,,,,,,,,
89,J1123.0-6416,,J1122.9-6415,agu,J1123.0-6416,,,,,J1123.2-6415,bcu,J1123.0-6416,J1122.9-6415,
96,J1231.5-1410,,J1231.1-1410,,J1231.5-1410,J1231.2-1411,PSR,J1231.5-1410,J1231.1-1410,J1231.2-1411,PSR,J1231.5-1410,J1231.1-1410,J1231.2-1411
102,J1311.9-3419,,J1311.7-3429,,J1311.9-3419,J1311.7-3429,,J1311.9-3419,J1311.7-3429,J1311.8-3430,PSR,J1311.9-3419,J1311.7-3429,J1311.7-3429
104,J1326.6-5302,,J1327.0-5257,agu,J1326.6-5302,J1326.7-5254,bzb,J1326.6-5302,J1327.0-5257,J1326.6-5256,bll,J1326.6-5302,J1327.0-5257,J1326.7-5254
105,J1328.8-5604,,J1329.2-5605,agu,J1328.8-5604,J1329.2-5608,agu,J1328.8-5604,J1329.2-5605,J1328.9-5607,bcu,J1328.8-5604,J1329.2-5605,J1329.2-5608
109,J1413.1-6203,,J1413.4-6205,PSR,J1413.1-6203,J1413.4-6204,PSR,J1413.1-6203,J1413.4-6205,J1413.4-6205,PSR,J1413.1-6203,J1413.4-6205,J1413.4-6204
112,J1430.5-5918,,,,,,,,,,,,,
119,J1514.3-4946,,J1514.1-4945,,J1514.3-4946,J1514.1-4946,psr,J1514.3-4946,J1514.1-4945,J1514.2-4947,PSR,J1514.3-4946,J1514.1-4945,J1514.1-4946
