,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl
0,J1744.1-7619,32.85,266.045,−76.3286,1.0,0.96,MSP/MSP,J1744.0-7618,PSR,J1744.1-7619,J1744.0-7618,PSR,J1744.1-7619
1,J1653.6-0158,31.95,253.419,−1.9801,0.99,0.73,MSP/MSP,J1653.6-0158,PSR,J1653.6-0158,J1653.6-0158,PSR,J1653.6-0158
2,J1035.7-6720,30.48,158.926,−67.3335,1.0,0.94,MSP/MSP,J1035.4-6720,PSR,J1035.7-6720,J1035.4-6720,PSR,J1035.7-6720
3,J1119.9-2204,30.16,169.984,−22.0673,0.99,0.91,MSP/MSP,J1120.0-2204,,J1119.9-2204,J1120.0-2204,,J1119.9-2204
4,J2112.5-3044,30.14,318.145,−30.7344,0.99,0.94,MSP/MSP,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044
5,J1702.8-5656,28.81,255.72,−56.9357,0.92,0.36,MSP/MSP,J1702.7-5655,,J1702.8-5656,J1702.7-5655,,J1702.8-5656
6,J1625.1-0021,28.53,246.279,−0.3586,1.0,0.98,MSP/MSP,J1625.1-0020,PSR,J1625.1-0021,J1625.1-0020,PSR,J1625.1-0021
7,J1906.6+0720,26.27,286.671,7.3339,1.0,0.85,YNG/YNG,,,,,,
8,J0523.3-2528,26.14,80.839,−25.4763,0.52,0.36,MSP/MSP,J0523.3-2527,,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528
9,J1306.4-6043,25.45,196.615,−60.7317,1.0,0.9,MSP/MSP,J1306.3-6043,,J1306.4-6043,J1306.3-6043,,J1306.4-6043
10,J2039.6-5618,25.38,309.918,−56.3121,0.99,0.82,MSP/MSP,J2039.5-5617,,J2039.6-5618,J2039.5-5617,PSR,J2039.6-5618
11,J0212.1+5320,25.07,33.037,53.3360,0.98,0.92,MSP/MSP,J0212.1+5321,,J0212.1+5320,J0212.1+5321,bin,J0212.1+5320
12,J2017.9+3627,25.04,304.485,36.4591,1.0,0.85,YNG/YNG,J2017.9+3625,PSR,J2017.9+3627,J2017.9+3625,PSR,J2017.9+3627
13,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1405.1-6119,,J1405.4-6119,J1405.1-6119,,J1405.4-6119
14,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1405.1-6119,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119
15,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,,J1405.4-6119
16,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1409.1-6121e,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119
17,J0340.4+5302,22.31,55.1,53.0484,0.99,0.28,YNG/YNG,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302
18,J0933.9-6232,22.07,143.481,−62.5338,0.99,0.96,MSP/MSP,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232
19,J0634.1+0424,21.06,98.528,4.4062,0.98,0.69,YNG/YNG,J0634.2+0436e,snr,J0634.1+0424,J0634.2+0436e,snr,J0634.1+0424
20,J1745.3-2903c,20.66,266.343,−29.0630,1.0,0.87,YNG/YNG,,,,,,
21,J1622.9-5004,20.65,245.726,−50.0753,0.99,0.75,YNG/YNG,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004
22,J1946.4-5403,20.29,296.614,−54.0570,0.98,0.96,MSP/MSP,J1946.5-5402,PSR,J1946.4-5403,J1946.5-5402,PSR,J1946.4-5403
23,J1747.0-2828,20.26,266.775,−28.4819,1.0,0.73,YNG/YNG,,,,,,
24,J1624.2-4041,19.27,246.059,−40.6865,0.99,0.85,YNG/YNG,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041
25,J1539.2-3324,19.23,234.823,−33.4142,0.96,0.93,MSP/MSP,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324
26,J0359.5+5413,19.17,59.881,54.2220,1.0,0.83,MSP/YNG,J0359.4+5414,PSR,J0359.5+5413,J0359.4+5414,PSR,J0359.5+5413
27,J0954.8-3948,18.89,148.712,−39.8087,0.86,0.26,MSP/MSP,,,,,,
28,J1848.4-0141,18.67,282.118,−1.6927,1.0,0.73,YNG/YNG,,,,,,
29,J2004.4+3338,18.46,301.103,33.6451,0.66,0.2,MSP/YNG,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338
30,J2041.1+4736,18.38,310.281,47.6030,0.99,0.43,YNG/YNG,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736
31,J0854.8-4503,18.21,133.711,−45.0616,0.98,0.82,YNG/YNG,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503
32,J0744.1-2523,18.1,116.045,−25.3994,0.97,0.38,MSP/YNG,J0744.0-2525,,J0744.1-2523,J0744.0-2525,bin,J0744.1-2523
33,J0002.6+6218,17.97,0.674,62.3006,0.99,0.81,YNG/YNG,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218
34,J0336.1+7500,17.75,54.044,75.0153,0.95,0.72,MSP/MSP,J0336.0+7502,,J0336.1+7500,J0336.0+7502,,J0336.1+7500
35,J1800.8-2402,17.48,270.222,−24.0351,0.98,0.77,YNG/YNG,,,,,,
36,J1754.0-2538,16.84,268.508,−25.6486,0.95,0.79,YNG/YNG,,,,,,
37,J1823.2-1339,16.64,275.82,−13.6513,1.0,0.8,YNG/YNG,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339
38,J1208.4-6239,16.23,182.12,−62.6612,0.98,0.75,YNG/YNG,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239
39,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600
40,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1650.3-4600,PSR,J1650.3-4600,J1652.2-4633e,,J1650.3-4600
41,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600
42,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1652.2-4633e,,J1650.3-4600,J1652.2-4633e,,J1650.3-4600
43,J1056.7-5853,16.11,164.179,−58.8960,1.0,0.67,YNG/YNG,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853
44,J1112.0-6135,15.69,168.017,−61.5842,0.97,0.65,YNG/YNG,,,,,,
45,J0914.5-4736,15.57,138.641,−47.6152,0.5,0.39,YNG/YNG,,,,,,
46,J1358.5-6025,15.43,209.643,−60.4298,1.0,0.7,YNG/YNG,J1358.3-6026,,J1358.5-6025,J1358.3-6026,,J1358.5-6025
47,J1104.9-6036,15.4,166.248,−60.6091,1.0,0.85,YNG/YNG,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036
