,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl,4fgldr1_features,4fgldr1_labels,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1
0,J1744.1-7619,32.85,266.045,−76.3286,1.0,0.96,MSP/MSP,J1744.0-7618,PSR,J1744.1-7619,J1744.0-7618,PSR,J1744.1-7619,J1744.0-7618,MSP,J1744.1-7619,J1744.0-7618,MSP,J1744.1-7619,"[2.1582326889038086, 1.8060749769210815, 0.3025987148284912, 5.059604644775391, -30.47808809620703, -29.914487764114504, -27.95654594100942, -29.926556646192783, -22.809733990396662, 0.6002821326255798, 0.0, 17.437122344970703, 51.9305534362793, 0.8861558852825413, 0.23184986819726902, -0.3078758478242225, -0.680508524693247, -0.984605683409129, -0.99591944696206]",[0],PSR,PSR,PSR,PSR
1,J1653.6-0158,31.95,253.419,−1.9801,0.99,0.73,MSP/MSP,J1653.6-0158,PSR,J1653.6-0158,J1653.6-0158,PSR,J1653.6-0158,J1653.6-0158,MSP,J1653.6-0158,J1653.6-0158,MSP,J1653.6-0158,"[2.289458990097046, 2.055655002593994, 1.4036545753479004, 10.390047073364258, -29.30409092107031, -28.8693235021153, -27.44037003754448, -28.940898070090523, -22.64640560618091, 0.2953855097293854, 0.05048990994691849, 12.935613632202148, 55.76805877685547, -0.1418571393105064, -0.33951286532346364, -0.5633708938749047, -0.7158063296322124, -0.9685676738330458, -0.9995805038265135]",[0],PSR,PSR,PSR,PSR
2,J1035.7-6720,30.48,158.926,−67.3335,1.0,0.94,MSP/MSP,J1035.4-6720,PSR,J1035.7-6720,J1035.4-6720,PSR,J1035.7-6720,J1035.4-6720,MSP,J1035.7-6720,J1035.4-6720,MSP,J1035.7-6720,"[2.185445785522461, 2.12379789352417, 0.5524904727935791, 2.408257246017456, -30.887827375332577, -30.38016142979181, -27.958946110545483, -30.418050666673835, -22.809908645308298, 0.5491748452186584, 0.0, 15.086261749267578, 43.67748260498047, 0.9993472588453, 0.3978094293827688, -0.3111577530668729, -0.6926088617913327, -0.9550728201552395, -0.9995802009788689]",[0],PSR,PSR,PSR,PSR
3,J1119.9-2204,30.16,169.984,−22.0673,0.99,0.91,MSP/MSP,J1120.0-2204,,J1119.9-2204,J1120.0-2204,,J1119.9-2204,J1120.0-2204,,J1119.9-2204,J1120.0-2204,lmb,J1119.9-2204,,,NA,NA,NA,NA
4,J2112.5-3044,30.14,318.145,−30.7344,0.99,0.94,MSP/MSP,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,,,NA,NA,NA,NA
5,J1702.8-5656,28.81,255.72,−56.9357,0.92,0.36,MSP/MSP,J1702.7-5655,,J1702.8-5656,J1702.7-5655,,J1702.8-5656,J1702.7-5655,,J1702.8-5656,J1702.7-5655,bin,J1702.8-5656,,,NA,NA,NA,NA
6,J1625.1-0021,28.53,246.279,−0.3586,1.0,0.98,MSP/MSP,J1625.1-0020,PSR,J1625.1-0021,J1625.1-0020,PSR,J1625.1-0021,J1625.1-0020,MSP,J1625.1-0021,J1625.1-0020,MSP,J1625.1-0021,"[2.0819225311279297, 1.6924378871917725, 0.4647963345050812, 4.926960468292236, -30.43983907140576, -29.883523067830073, -27.875676627756143, -29.917214675452364, -22.738546148269545, 0.5164488554000854, 0.0, 15.803528785705566, 54.078033447265625, 0.040334965460176515, -0.2598790895269291, -0.2752729191644873, -0.5978416271085945, -0.989923196838728, -0.9987123838446427]",[0],PSR,PSR,PSR,PSR
7,J1906.6+0720,26.27,286.671,7.3339,1.0,0.85,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
8,J0523.3-2528,26.14,80.839,−25.4763,0.52,0.36,MSP/MSP,J0523.3-2527,,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,,,NA,NA,NA,NA
9,J1306.4-6043,25.45,196.615,−60.7317,1.0,0.9,MSP/MSP,J1306.3-6043,,J1306.4-6043,J1306.3-6043,,J1306.4-6043,J1306.3-6043,,J1306.4-6043,J1306.3-6043,MSP,J1306.4-6043,,,NA,NA,NA,NA
