,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl,4fgldr2_features,4fgldr2_labels,predict_lr_dr2,predict_nn_dr2,predict_dnn_dr2,predict_rf_dr2
0,J1744.1-7619,32.85,266.045,−76.3286,1.0,0.96,MSP/MSP,J1744.0-7618,PSR,J1744.1-7619,J1744.0-7618,PSR,J1744.1-7619,J1744.0-7618,MSP,J1744.1-7619,J1744.0-7618,MSP,J1744.1-7619,"[2.165564775466919, 1.7999749183654785, 0.3243301510810852, 5.763754367828369, -30.532044616620812, -29.968077836058875, -28.066222951752138, -29.982786508464816, -22.920471846501282, 0.6006229519844055, 0.0, 19.836153030395508, 58.641448974609375, 0.9287184527960392, 0.31361991869415695, -0.334388708333304, -0.687072588915857, -0.9884880241291036, -0.9996318708999932]",[0],PSR,PSR,PSR,PSR
1,J1653.6-0158,31.95,253.419,−1.9801,0.99,0.73,MSP/MSP,J1653.6-0158,PSR,J1653.6-0158,J1653.6-0158,PSR,J1653.6-0158,J1653.6-0158,MSP,J1653.6-0158,J1653.6-0158,MSP,J1653.6-0158,"[2.300436496734619, 2.0683364868164062, 1.4463618993759155, 9.22247314453125, -29.278725013874272, -28.863796718977586, -27.534540608023843, -28.931663162047506, -22.742390240053943, 0.28014180064201355, 0.010251432657241821, 13.880501747131348, 61.11184310913086, 0.024439060947162337, -0.3398975738652657, -0.5824728304351631, -0.7224081681467793, -0.9573738813573722, -0.9997746195379997]",[0],PSR,PSR,PSR,PSR
2,J1035.7-6720,30.48,158.926,−67.3335,1.0,0.94,MSP/MSP,J1035.4-6720,PSR,J1035.7-6720,J1035.4-6720,PSR,J1035.7-6720,J1035.4-6720,MSP,J1035.7-6720,J1035.4-6720,MSP,J1035.7-6720,"[2.1947741508483887, 2.1247775554656982, 0.6059169173240662, 4.860165119171143, -30.987825684229186, -30.466524160393995, -28.08089600452343, -30.52794998074609, -22.946269992151883, 0.5317965745925903, 0.0, 16.436403274536133, 48.49498748779297, 0.9988778090404676, 0.23110585184752433, -0.3492904277976437, -0.6900775773563639, -0.9504545359247262, -0.9999982991034692]",[0],PSR,PSR,PSR,PSR
3,J1119.9-2204,30.16,169.984,−22.0673,0.99,0.91,MSP/MSP,J1120.0-2204,,J1119.9-2204,J1120.0-2204,,J1119.9-2204,J1120.0-2204,,J1119.9-2204,J1120.0-2204,lmb,J1119.9-2204,,,NA,NA,NA,NA
4,J2112.5-3044,30.14,318.145,−30.7344,0.99,0.94,MSP/MSP,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,,,NA,NA,NA,NA
5,J1702.8-5656,28.81,255.72,−56.9357,0.92,0.36,MSP/MSP,J1702.7-5655,,J1702.8-5656,J1702.7-5655,,J1702.8-5656,J1702.7-5655,,J1702.8-5656,J1702.7-5655,bin,J1702.8-5656,,,NA,NA,NA,NA
6,J1625.1-0021,28.53,246.279,−0.3586,1.0,0.98,MSP/MSP,J1625.1-0020,PSR,J1625.1-0021,J1625.1-0020,PSR,J1625.1-0021,J1625.1-0020,MSP,J1625.1-0021,J1625.1-0020,MSP,J1625.1-0021,"[2.072171926498413, 1.8175026178359985, 0.3962249755859375, 6.496514320373535, -30.81294615079672, -30.237697172838057, -28.071339509580053, -30.25700682629419, -22.854191449964844, 0.5396893620491028, 0.0, 17.88333511352539, 58.52322006225586, 0.15139979850443624, -0.24730651713961221, -0.27773617851848337, -0.6112629789593269, -0.992074990222575, -0.9991824094318555]",[0],PSR,PSR,PSR,PSR
7,J1906.6+0720,26.27,286.671,7.3339,1.0,0.85,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
8,J0523.3-2528,26.14,80.839,−25.4763,0.52,0.36,MSP/MSP,J0523.3-2527,,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,,,NA,NA,NA,NA
9,J1306.4-6043,25.45,196.615,−60.7317,1.0,0.9,MSP/MSP,J1306.3-6043,,J1306.4-6043,J1306.3-6043,,J1306.4-6043,J1306.3-6043,,J1306.4-6043,J1306.3-6043,MSP,J1306.4-6043,,,NA,NA,NA,NA
10,J2039.6-5618,25.38,309.918,−56.3121,0.99,0.82,MSP/MSP,J2039.5-5617,,J2039.6-5618,J2039.5-5617,PSR,J2039.6-5618,J2039.5-5617,MSP,J2039.6-5618,J2039.5-5617,MSP,J2039.6-5618,"[2.165757179260254, 1.9435207843780518, 1.3881105184555054, 18.206453323364258, -30.447664717662594, -30.089309332974658, -28.03430783818904, -30.128200562774346, -23.209831369911548, 0.2369363158941269, 0.11803444474935532, 9.53002643585205, 46.68906021118164, -0.3792234892965491, -0.4814138993220039, -0.45951028672564004, -0.5749655732490843, -0.9352127178542985, -0.9999971705119626]",[0],PSR,PSR,PSR,PSR
11,J0212.1+5320,25.07,33.037,53.3360,0.98,0.92,MSP/MSP,J0212.1+5321,,J0212.1+5320,J0212.1+5321,bin,J0212.1+5320,J0212.1+5321,bin,J0212.1+5320,J0212.1+5321,bin,J0212.1+5320,,,NA,NA,NA,NA
12,J2017.9+3627,25.04,304.485,36.4591,1.0,0.85,YNG/YNG,J2017.9+3625,PSR,J2017.9+3627,J2017.9+3625,PSR,J2017.9+3627,J2017.9+3625,PSR,J2017.9+3627,J2017.9+3625,PSR,J2017.9+3627,"[2.510077714920044, 2.5831780433654785, 0.9943302273750305, 11.670798301696777, -30.066307203736873, -29.593267243393903, -26.424486896900632, -29.69568413961149, -21.96080164520778, 0.5344083309173584, 0.04536189138889313, 17.00362205505371, 48.043087005615234, 0.0032451405078712235, -0.4071303890873688, -0.5098153532776954, -0.7791721770739504, -0.9752150164425685, -0.799266555452103]",[0],PSR,PSR,PSR,PSR
13,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1405.1-6119,,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
15,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1405.1-6119,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
21,J0340.4+5302,22.31,55.1,53.0484,0.99,0.28,YNG/YNG,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302,,,NA,NA,NA,NA
22,J0933.9-6232,22.07,143.481,−62.5338,0.99,0.96,MSP/MSP,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232,,,NA,NA,NA,NA
23,J0634.1+0424,21.06,98.528,4.4062,0.98,0.69,YNG/YNG,J0634.2+0436e,snr,J0634.1+0424,J0634.2+0436e,snr,J0634.1+0424,J0634.2+0436e,snr,J0634.1+0424,,,,,,NA,NA,NA,NA
24,J1745.3-2903c,20.66,266.343,−29.0630,1.0,0.87,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
25,J1622.9-5004,20.65,245.726,−50.0753,0.99,0.75,YNG/YNG,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,"[2.3221585750579834, 2.3461217880249023, 1.16524076461792, 8.402525901794434, -31.587082734859322, -31.248519817738885, -26.525582555430436, -31.23302291522199, -21.563195106539435, 0.40145716071128845, 0.0, 10.857220649719238, 34.745582580566406, -0.986662824013735, 0.9838984706892226, -0.26557636641969856, -0.5209021720683977, -0.8118590073587814, -0.8864779455476525]",[0],PSR,PSR,PSR,PSR
26,J1946.4-5403,20.29,296.614,−54.0570,0.98,0.96,MSP/MSP,J1946.5-5402,PSR,J1946.4-5403,J1946.5-5402,PSR,J1946.4-5403,J1946.5-5402,MSP,J1946.4-5403,J1946.5-5402,MSP,J1946.4-5403,"[2.241502523422241, 2.2761971950531006, 0.0004365856002550572, 3.9644722938537598, -31.205703973453094, -30.447349217380474, -28.65458379535363, -30.691022273750832, -23.330855107043643, 0.5865024328231812, 0.0, 12.407069206237793, 37.660526275634766, 0.9008945713397315, -0.31286612318869583, -0.32371395141283665, -0.7980587810326959, -0.9999598612803339, -0.8221879519173657]",[0],PSR,PSR,PSR,PSR
27,J1747.0-2828,20.26,266.775,−28.4819,1.0,0.73,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
28,J1624.2-4041,19.27,246.059,−40.6865,0.99,0.85,YNG/YNG,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,"[2.376096725463867, 2.3099303245544434, 1.0256236791610718, 12.52165412902832, -30.52274224393425, -30.08895863046962, -27.399979764436875, -30.161202533898745, -22.627199672383778, 0.4317958950996399, 0.055552151054143906, 12.923321723937988, 39.309181213378906, 0.9993158769851043, -0.2683404257975373, -0.5015962651702965, -0.7052710291779566, -0.9698866108466114, -0.9978328394493867]",[0],PSR,PSR,PSR,PSR
29,J1539.2-3324,19.23,234.823,−33.4142,0.96,0.93,MSP/MSP,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324,,,NA,NA,NA,NA
30,J0359.5+5413,19.17,59.881,54.2220,1.0,0.83,MSP/YNG,J0359.4+5414,PSR,J0359.5+5413,J0359.4+5414,PSR,J0359.5+5413,J0359.4+5414,PSR,J0359.5+5413,J0359.4+5414,PSR,J0359.5+5413,"[2.3768839836120605, 2.3705427646636963, 0.9933070540428162, 4.630634784698486, -30.85165066758003, -30.417646398493805, -27.50164278344738, -30.48386127150254, -22.73825870684963, 0.46453920006752014, 0.0, 11.787700653076172, 30.364538192749023, 0.3568938859908355, 0.6536707329451605, -0.5009618502206441, -0.7022178081930055, -0.9770863621865015, -0.999998282361866]",[0],PSR,PSR,PSR,PSR
31,J0954.8-3948,18.89,148.712,−39.8087,0.86,0.26,MSP/MSP,,,,,,,,,,,,,,,NA,NA,NA,NA
32,J1848.4-0141,18.67,282.118,−1.6927,1.0,0.73,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
33,J2004.4+3338,18.46,301.103,33.6451,0.66,0.2,MSP/YNG,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,,,NA,NA,NA,NA
34,J2041.1+4736,18.38,310.281,47.6030,0.99,0.43,YNG/YNG,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,,,NA,NA,NA,NA
35,J0854.8-4503,18.21,133.711,−45.0616,0.98,0.82,YNG/YNG,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,,,NA,NA,NA,NA
36,J0744.1-2523,18.1,116.045,−25.3994,0.97,0.38,MSP/YNG,J0744.0-2525,,J0744.1-2523,J0744.0-2525,bin,J0744.1-2523,J0744.0-2525,PSR,J0744.1-2523,J0744.0-2525,PSR,J0744.1-2523,,,NA,NA,NA,NA
37,J0002.6+6218,17.97,0.674,62.3006,0.99,0.81,YNG/YNG,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,"[2.4565813541412354, 2.317369222640991, 1.115103006362915, 6.010043621063232, -30.417441797274442, -30.039546468913493, -27.368662826926677, -30.009207900396383, -22.896405893070668, 0.4435420632362366, 0.0, 10.631234169006348, 30.155426025390625, 0.1385010959032461, -0.1756836622643149, -0.5468336679801444, -0.7269190795415686, -0.9773315996686797, -0.9999754635698646]",[0],PSR,PSR,PSR,PSR
