,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl,4fgldr3_features,4fgldr3_labels,predict_lr_dr3,predict_nn_dr3,predict_dnn_dr3,predict_rf_dr3
0,J1744.1-7619,32.85,266.045,−76.3286,1.0,0.96,MSP/MSP,J1744.0-7618,PSR,J1744.1-7619,J1744.0-7618,PSR,J1744.1-7619,J1744.0-7618,MSP,J1744.1-7619,J1744.0-7618,MSP,J1744.1-7619,"[2.1591317653656006, 1.7504385709762573, 1.6571564674377441, 6.021377086639404, -30.55856221322891, -29.965969569931936, -28.104305195153735, -30.025560907050956, -22.99852107680214, 0.5772351622581482, 0.0, 21.160789489746094, 63.27223205566406, 0.37304150114890977, 0.2908093238596711, -0.3326077824837978, -0.6639395566637049, -0.9910732194685934, -0.9998384799134757, -0.8884450093009365]",[0],PSR,PSR,PSR,PSR
1,J1653.6-0158,31.95,253.419,−1.9801,0.99,0.73,MSP/MSP,J1653.6-0158,PSR,J1653.6-0158,J1653.6-0158,PSR,J1653.6-0158,J1653.6-0158,MSP,J1653.6-0158,J1653.6-0158,MSP,J1653.6-0158,"[2.2953970432281494, 2.065356492996216, 2.000744342803955, 17.244741439819336, -29.385071721597598, -28.942975996572404, -27.613075204392, -29.013626789519854, -22.815069678304248, 0.30258601903915405, 0.06211395189166069, 15.800226211547852, 64.14997100830078, 0.0918148700293061, -0.31978769691161313, -0.5839715643639537, -0.7249067196424269, -0.9628265119889463, -0.9998267200848416, 0.06060970437870134]",[0],PSR,PSR,PSR,PSR
2,J1035.7-6720,30.48,158.926,−67.3335,1.0,0.94,MSP/MSP,J1035.4-6720,PSR,J1035.7-6720,J1035.4-6720,PSR,J1035.7-6720,J1035.4-6720,MSP,J1035.7-6720,J1035.4-6720,MSP,J1035.7-6720,"[2.2046194076538086, 1.912575364112854, 1.8170665502548218, 5.286185264587402, -30.632159119235915, -30.07033761611718, -27.926413473124626, -30.112461410172667, -23.003345462345173, 0.5132527351379395, 0.0, 17.543550491333008, 52.660160064697266, 0.9855455633196265, 0.8345239671101216, -0.3490208981935602, -0.693259430065524, -0.9403349437474122, -0.9999997122353093, 0.9762562012698193]",[0],PSR,PSR,PSR,PSR
3,J1119.9-2204,30.16,169.984,−22.0673,0.99,0.91,MSP/MSP,J1120.0-2204,,J1119.9-2204,J1120.0-2204,,J1119.9-2204,J1120.0-2204,,J1119.9-2204,J1120.0-2204,lmb,J1119.9-2204,,,NA,NA,NA,NA
4,J2112.5-3044,30.14,318.145,−30.7344,0.99,0.94,MSP/MSP,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,,,NA,NA,NA,NA
5,J1702.8-5656,28.81,255.72,−56.9357,0.92,0.36,MSP/MSP,J1702.7-5655,,J1702.8-5656,J1702.7-5655,,J1702.8-5656,J1702.7-5655,,J1702.8-5656,J1702.7-5655,bin,J1702.8-5656,,,NA,NA,NA,NA
6,J1625.1-0021,28.53,246.279,−0.3586,1.0,0.98,MSP/MSP,J1625.1-0020,PSR,J1625.1-0021,J1625.1-0020,PSR,J1625.1-0021,J1625.1-0020,MSP,J1625.1-0021,J1625.1-0020,MSP,J1625.1-0021,"[2.0794034004211426, 1.8979341983795166, 1.7629021406173706, 7.948478698730469, -31.048304319205513, -30.35623412641898, -28.030703690153572, -30.525424740193728, -22.926523871995343, 0.552607536315918, 0.0, 19.591814041137695, 62.23423385620117, -0.3209525214567193, -0.04092739603554161, -0.24796258513983335, -0.6140922513491888, -0.9864255651828334, -0.9999981160336696, 0.9376644841809945]",[0],PSR,PSR,PSR,PSR
7,J1906.6+0720,26.27,286.671,7.3339,1.0,0.85,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
8,J0523.3-2528,26.14,80.839,−25.4763,0.52,0.36,MSP/MSP,J0523.3-2527,,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,,,NA,NA,NA,NA
9,J1306.4-6043,25.45,196.615,−60.7317,1.0,0.9,MSP/MSP,J1306.3-6043,,J1306.4-6043,J1306.3-6043,,J1306.4-6043,J1306.3-6043,,J1306.4-6043,J1306.3-6043,MSP,J1306.4-6043,,,NA,NA,NA,NA
