,3fgl,3fgl_features,3fgl_labels,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1,predict_lr_dr2,predict_nn_dr2,predict_dnn_dr2,predict_rf_dr2,predict_lr_dr3,predict_nn_dr3,predict_dnn_dr3,predict_rf_dr3,predict_lr_dr4
0,J1744.1-7619,"[1.7686184644699097, 3.946015088487509, -25.98271030015259, -27.363806623947777, 2.292818757625695, -0.7164778819581004]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
1,J1653.6-0158,"[2.061894655227661, 4.014641590990538, -25.292841748859193, -27.025490089751933, 2.035145749591049, -0.8217223047303541]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
2,J1035.7-6720,"[1.9564838409423828, 3.8504100509046393, -25.47308965222786, -27.24795947620838, 2.127202866090172, -0.7754479012406336]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
3,J1119.9-2204,"[1.8113669157028198, 4.137113634564844, -25.76472812681654, -27.599438084483065, 2.2676848746607123, -0.7649850827899005]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
4,J2112.5-3044,"[1.6770877838134766, 3.948190090853206, -26.577697435429922, -27.30525586921445, 2.0318642280401717, -0.6693439155054046]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
5,J1702.8-5656,"[2.1698994636535645, 4.073720774196282, -24.645060775960403, -27.123324884792485, 1.8128943861114606, -0.8485012651783006]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
6,J1625.1-0021,"[1.6635656356811523, 3.619262446473022, -26.453594762035205, -27.39694546703037, 2.271394612083023, -0.6776430290656027]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
7,J1906.6+0720,"[2.356557846069336, 3.73061210563755, -26.259491907807842, -25.88039605567043, 2.125279203590955, -0.7968580503481599]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
8,J0523.3-2528,"[2.1538543701171875, 3.9150831986280323, -26.813184921981872, -27.41323832962211, 1.0581930808124507, -0.8194889434999182]",[1],AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
9,J1306.4-6043,"[1.9560455083847046, 3.5748209035210303, -26.62735703256379, -26.712971105424465, 1.9695424848254088, -0.6740841749769497]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
