,3fgl,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl
0,J1744.1-7619,J1744.0-7618,PSR,J1744.1-7619,J1744.0-7618,PSR,J1744.1-7619,J1744.0-7618,MSP,J1744.1-7619,J1744.0-7618,MSP,J1744.1-7619
1,J1653.6-0158,J1653.6-0158,PSR,J1653.6-0158,J1653.6-0158,PSR,J1653.6-0158,J1653.6-0158,MSP,J1653.6-0158,J1653.6-0158,MSP,J1653.6-0158
2,J1035.7-6720,J1035.4-6720,PSR,J1035.7-6720,J1035.4-6720,PSR,J1035.7-6720,J1035.4-6720,MSP,J1035.7-6720,J1035.4-6720,MSP,J1035.7-6720
3,J1119.9-2204,J1120.0-2204,,J1119.9-2204,J1120.0-2204,,J1119.9-2204,J1120.0-2204,,J1119.9-2204,J1120.0-2204,lmb,J1119.9-2204
4,J2112.5-3044,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044
5,J1702.8-5656,J1702.7-5655,,J1702.8-5656,J1702.7-5655,,J1702.8-5656,J1702.7-5655,,J1702.8-5656,J1702.7-5655,bin,J1702.8-5656
6,J1625.1-0021,J1625.1-0020,PSR,J1625.1-0021,J1625.1-0020,PSR,J1625.1-0021,J1625.1-0020,MSP,J1625.1-0021,J1625.1-0020,MSP,J1625.1-0021
7,J1906.6+0720,,,,,,,,,,,,
8,J0523.3-2528,J0523.3-2527,,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528
9,J1306.4-6043,J1306.3-6043,,J1306.4-6043,J1306.3-6043,,J1306.4-6043,J1306.3-6043,,J1306.4-6043,J1306.3-6043,MSP,J1306.4-6043
